Time,Day_Id,CW_state,Max_capacity,Duration
"2020-09-24 12:50:58",5,1,0,5
"2020-09-24 12:51:03",5,2,0,11364
"2020-09-25 08:00:32",6,2,0,25478
"2020-09-25 15:05:10",6,3,0,484
"2020-09-25 15:13:14",6,2,1,33
"2020-09-25 15:13:47",6,3,1,452
"2020-09-25 15:21:19",6,2,0,2200
"2020-09-25 15:57:59",6,3,0,132
"2020-09-26 08:00:38",7,2,0,12518
"2020-09-26 11:29:16",7,3,0,1616
"2020-09-26 11:56:12",7,2,0,14683
"2020-09-27 00:00:39",1,2,0,112161
"2020-09-28 07:10:00",2,3,0,1192
"2020-09-28 07:29:52",2,2,0,39075
"2020-09-28 18:21:07",2,3,0,443
"2020-09-28 18:28:30",2,2,0,1121
"2020-09-28 18:47:11",2,3,0,509
"2020-09-28 18:55:40",2,2,0,4328
"2020-09-28 20:07:48",2,3,0,425
"2020-09-28 20:14:53",2,2,1,23
"2020-09-28 20:15:16",2,3,1,442
"2020-09-28 20:22:38",2,2,0,13098
"2020-09-29 08:00:12",3,2,0,14471
"2020-09-29 12:01:23",3,1,0,11189
"2020-09-29 15:07:52",3,2,0,3168
"2020-09-30 08:00:59",4,2,0,13850
"2020-09-30 11:51:49",4,1,0,11908
"2020-09-30 15:10:17",4,2,0,1109
"2020-09-30 15:28:46",4,1,0,32
"2020-09-30 15:29:18",4,2,0,1866
"2020-10-01 08:00:59",5,2,0,14377
"2020-10-01 12:00:36",5,1,0,5
"2020-10-01 12:00:41",5,2,0,642
"2020-10-01 12:11:23",5,1,0,5
"2020-10-01 12:11:28",5,2,0,1281
"2020-10-01 12:32:49",5,1,0,64
"2020-10-01 12:33:53",5,2,0,12387
"2020-10-02 08:00:04",6,2,0,14670
"2020-10-02 12:04:34",6,3,0,501
"2020-10-02 12:12:55",6,2,0,3816
"2020-10-02 13:16:31",6,3,0,452
"2020-10-02 13:24:03",6,2,0,3337
"2020-10-02 14:19:40",6,3,0,547
"2020-10-02 14:28:47",6,2,0,1430
"2020-10-02 14:52:37",6,3,0,635
"2020-10-02 15:03:12",6,2,1,22
"2020-10-02 15:03:34",6,3,1,456
"2020-10-02 15:11:10",6,2,1,18
"2020-10-02 15:11:28",6,3,1,445
"2020-10-02 15:18:53",6,2,0,2504
"2020-10-03 08:00:23",7,2,0,5099
"2020-10-03 09:25:22",7,3,0,716
"2020-10-03 09:37:18",7,2,0,18055
"2020-10-03 14:38:13",7,3,0,575
"2020-10-03 14:47:48",7,2,0,4371
"2020-10-04 00:00:13",1,2,0,38950
"2020-10-04 10:49:23",1,3,0,483
"2020-10-04 10:57:26",1,2,0,7146
"2020-10-04 12:56:32",1,3,0,476
"2020-10-04 13:04:28",1,2,1,10
"2020-10-04 13:04:38",1,3,1,772
"2020-10-04 13:17:30",1,2,0,11653
"2020-10-04 16:31:43",1,3,0,1049
"2020-10-04 16:49:12",1,2,0,90481
"2020-10-05 17:57:13",2,3,0,524
"2020-10-05 18:05:57",2,2,0,21245
"2020-10-06 08:00:37",3,2,0,6660
"2020-10-06 09:51:37",3,1,0,2
"2020-10-06 09:51:39",3,2,0,3538
"2020-10-06 10:50:37",3,1,0,3
"2020-10-06 10:50:40",3,3,0,3411
"2020-10-06 11:47:31",3,2,0,41
"2020-10-06 11:48:12",3,1,0,3
"2020-10-06 11:48:15",3,3,0,298
"2020-10-06 11:53:13",3,2,0,43
"2020-10-06 11:53:56",3,1,0,132
"2020-10-06 11:56:08",3,2,0,2916
"2020-10-06 12:44:44",3,1,0,2
"2020-10-06 12:44:46",3,2,1,42
"2020-10-06 12:45:28",3,3,1,1875
"2020-10-06 13:16:43",3,2,0,383
"2020-10-06 13:23:06",3,1,0,5
"2020-10-06 13:23:11",3,2,0,41
"2020-10-06 13:23:52",3,1,0,2
"2020-10-06 13:23:54",3,3,0,1107
"2020-10-06 13:42:21",3,2,0,311
"2020-10-06 13:47:32",3,1,0,2
"2020-10-06 13:47:34",3,3,0,127
"2020-10-06 14:03:20",3,2,0,76
"2020-10-06 14:04:36",3,4,0,4371
"2020-10-06 15:17:27",3,1,0,17
"2020-10-06 15:17:44",3,2,0,2548
"2020-10-07 08:00:12",4,2,0,28810
"2020-10-08 08:00:39",5,2,0,7787
"2020-10-08 10:10:26",5,1,0,5
"2020-10-08 10:10:31",5,2,0,49
"2020-10-08 10:11:20",5,4,0,2885
"2020-10-08 10:59:25",5,1,0,36
"2020-10-08 11:00:01",5,2,0,10100
"2020-10-08 13:48:21",5,4,0,1998
"2020-10-08 14:21:39",5,1,0,38
"2020-10-08 14:22:17",5,2,0,141
"2020-10-08 14:24:38",5,3,0,131
"2020-10-08 14:26:49",5,2,0,2
"2020-10-08 14:26:51",5,1,0,2
"2020-10-08 14:26:53",5,3,0,836
"2020-10-08 14:40:49",5,2,0,16
"2020-10-08 14:41:05",5,1,0,5
"2020-10-08 14:41:10",5,2,0,232
"2020-10-08 14:45:02",5,4,0,186
"2020-10-08 14:48:08",5,1,0,36
"2020-10-08 14:48:44",5,2,0,4333
"2020-10-09 08:00:48",6,2,0,3234
"2020-10-09 08:54:42",6,3,0,197
"2020-10-09 08:57:59",6,4,0,25
"2020-10-09 08:58:24",6,1,0,13
"2020-10-09 08:58:37",6,2,1,5
"2020-10-09 08:58:42",6,3,1,89
"2020-10-09 09:00:11",6,2,0,5
"2020-10-09 09:00:17",6,1,0,2
"2020-10-09 09:00:19",6,2,1,8
"2020-10-09 09:00:27",6,3,1,224
"2020-10-09 09:04:11",6,2,0,3
"2020-10-09 09:04:14",6,1,0,3
"2020-10-09 09:04:17",6,3,0,121
"2020-10-09 09:06:18",6,2,0,2
"2020-10-09 09:06:20",6,1,0,3
"2020-10-09 09:06:23",6,3,0,210
"2020-10-09 09:09:53",6,2,0,194
"2020-10-09 09:13:07",6,1,0,2
"2020-10-09 09:13:09",6,3,0,113
"2020-10-09 09:15:02",6,2,0,95
"2020-10-09 09:16:37",6,1,0,3
"2020-10-09 09:16:40",6,3,0,180
"2020-10-09 09:19:40",6,2,0,6
"2020-10-09 09:19:46",6,1,0,3
"2020-10-09 09:19:49",6,3,0,249
"2020-10-09 09:23:58",6,2,1,3
"2020-10-09 09:24:01",6,3,1,192
"2020-10-09 09:27:13",6,2,0,2
"2020-10-09 09:27:15",6,1,0,33
"2020-10-09 09:27:48",6,2,0,913
"2020-10-09 09:43:01",6,1,0,38
"2020-10-09 09:43:39",6,3,0,1121
"2020-10-09 10:02:20",6,2,0,8
"2020-10-09 10:02:28",6,1,0,3
"2020-10-09 10:02:31",6,3,0,7372
"2020-10-09 12:05:23",6,2,0,36
"2020-10-09 12:05:59",6,1,0,454
"2020-10-09 12:13:33",6,2,0,48
"2020-10-09 12:14:21",6,4,0,127
"2020-10-09 12:16:28",6,1,0,16
"2020-10-09 12:16:44",6,2,0,4643
"2020-10-09 13:34:07",6,3,0,534
"2020-10-09 13:43:01",6,2,1,49
"2020-10-09 13:43:50",6,3,1,540
"2020-10-09 13:52:50",6,2,0,7648
"2020-10-10 08:00:49",7,2,0,17657
"2020-10-10 12:55:06",7,3,0,486
"2020-10-10 13:03:12",7,2,0,3773
"2020-10-10 14:06:05",7,3,0,510
"2020-10-10 14:14:35",7,2,0,6374
"2020-10-11 00:00:39",1,2,0,66036
"2020-10-11 18:21:15",1,3,0,1240
"2020-10-11 18:41:55",1,2,1,59
"2020-10-11 18:42:54",1,3,1,1119
"2020-10-11 19:01:33",1,2,0,71392
"2020-10-12 14:51:25",2,3,0,566
"2020-10-12 15:00:51",2,2,0,547
"2020-10-12 15:09:58",2,3,0,456
"2020-10-12 15:17:34",2,2,0,130
"2020-10-12 15:19:44",2,3,0,520
"2020-10-12 15:28:24",2,2,0,30753
"2020-10-13 08:00:02",3,2,0,28807
"2020-10-14 08:00:28",4,2,0,28780
"2020-10-15 08:00:28",5,2,0,25312
"2020-10-15 15:02:21",5,3,0,482
"2020-10-15 15:10:23",5,2,1,22
"2020-10-15 15:10:45",5,3,1,550
"2020-10-15 15:19:55",5,2,0,1938
"2020-10-15 15:52:13",5,3,0,601
"2020-10-16 08:00:06",6,2,0,13961
"2020-10-16 11:52:47",6,1,0,5
"2020-10-16 11:52:52",6,2,0,7135
"2020-09-18 06:44:44",6,3,0,713
"2020-09-18 06:56:37",6,2,0,10861
"2020-09-18 10:08:23",6,2,0,10108
"2020-09-18 12:56:51",6,3,0,564
"2020-09-18 13:06:15",6,2,0,7078
"2020-09-18 15:04:13",6,3,0,601
"2020-09-18 15:14:14",6,2,1,23
"2020-09-18 15:14:37",6,3,1,471
"2020-09-18 15:22:28",6,2,1,30
"2020-09-18 15:22:58",6,3,1,509
"2020-09-18 15:31:27",6,2,0,1759
"2020-09-19 08:00:03",7,2,0,25116
"2020-09-19 14:58:39",7,3,0,1041
"2020-09-19 15:16:00",7,2,0,2666
"2020-09-20 00:00:51",1,2,0,57704
"2020-09-20 16:02:35",1,3,0,280
"2020-09-20 16:07:15",1,1,0,428
"2020-09-20 16:14:23",1,2,0,5733
"2020-09-20 17:49:56",1,3,0,1039
"2020-09-20 18:07:15",1,2,1,41
"2020-09-20 18:07:56",1,3,1,1464
"2020-09-20 18:32:20",1,2,0,67669
